type,group1,group2,,
225,495,2004-03-00,,
spl,225,499,,
all,501,495,,
riv,503,225,,
spl,499,501,,
spl,505,501,,
riv,505,225,,
all,499,509,,
riv,499,225,,
all,501,511,,
all,511,509,,
all,495,509,,
spl,513,505,,
spl,513,225,,
all,225,515,,
riv,515,225,,
riv,225,511,,
all,499,515,,
riv,499,515,,
spl,503,517,,
all,517,499,,
all,513,519,,
all,503,519,,
all,505,519,,
all,225,519,,
all,513,515,,
all,513,225,,
all,503,515,,
all,503,511,,
all,503,225,,
all,503,225,,
all,501,515,,
aff,255,521,,
aff,21,493,,
riv,493,81,,
riv,1,493,,
aff,21,493,,
riv,21,1,,
riv,493,1,,
riv,493,81,,
riv,1,81,,
all,493,537,,
all,493,523,,
all,541,537,,
riv,523,1,,
riv,541,1,,
riv,537,1,,
riv,81,493,,
riv,1,523,,
all,1,493,,
riv,1,493,,
all,1,5,,
riv,1,21,,
riv,81,529,,
all,493,537,,
all,523,493,,
all,523,493,,
all,493,527,,
all,493,527,,
all,493,527,,
all,523,527,,
all,493,523,,
all,493,525,,
all,523,525,,
all,523,493,,
riv,81,493,,
riv,81,529,,
riv,493,537,,
riv,1,537,,
riv,1,537,,
all,493,523, with many  of the strongest signees soon joining together to form the Islamic Front," of which al-Nusra is notably not a member."""
all,523,525, with many  of the strongest signees soon joining together to form the Islamic Front," of which al-Nusra is notably not a member."""
all,525,527, with many  of the strongest signees soon joining together to form the Islamic Front," of which al-Nusra is notably not a member."""
all,527,529, with many  of the strongest signees soon joining together to form the Islamic Front," of which al-Nusra is notably not a member."""
all,529,533, with many  of the strongest signees soon joining together to form the Islamic Front," of which al-Nusra is notably not a member."""
all,1,493,,
riv,561,81,,
riv,81,523,,
riv,1,541,,
riv,1,537,,
riv,1,525,,
riv,1,527,,
spl,525,543,,
all,1,525,,
riv,493,1,,
all,493,525,,
spl,525,549,,
spl,1,549,,
spl,1,549,,
aff,557,21,,
all,553,65,,
spl,557,21,,
all,1,559,,
riv,1,559,,
riv,1,559,,
aff,1,19,,
riv,1,19,,
aff,459,1,,
aff,557,1,,
aff,559,21,,
aff,559,1,,
aff,1,105,,
spl,555,65,,
aff,555,1,,
spl,555,65,,
riv,1,559,,
aff,152,1,,
aff,65,65,,
aff,152,1,,
aff,152,1,,
riv,561,1,,
riv,561,1,,
riv,21,1,,
riv,565,81,,
riv,561,81,,
all,493,565,,
all,561,559,,
riv,1,559,,
riv,1,561,,
riv,1,81,,
riv,81,559,,
mer,565,561,,
all,493,561,,
all,1,493,,
all,493,561,,
all,493,565, with many of the strongest signees soon joining together to form the Islamic Front," of which al-Nusra is notably not a member."""
all,493,565,,
all,493,565,,
aff,553,1,,
all,553,1, the Islamic State accepted their pledge," claiming that an allegiance with Boko Haram meant IS had officially expanded into West Africa."""
aff,547,21,,
aff,547,65,,
aff,547,1,,
all,1,367,,
riv,13,1,,
all,9,75,,
all,9,75,,
riv,1,75,,
riv,3,1,,
riv,75,1," JRTN leadership released a series of statements condemning IS.""",
riv,589,587,,
all,587,25,,
all,589,587,,
all,589,587,,
all,589,25,,
riv,589,591,,
all,587,591,,
riv,591,1,,
all,591,589,,
riv,587,1,,
all,591,589,,
riv,25,573,,
riv,589,13,,
riv,587,13,,
riv,3,1,,
all,5,3,,
riv,589,1,,
riv,587,1,,
riv,57,1,,
riv,435,1,,
mer,573,585,,
spl,585,25,,
mer,595,27,,
mer,27,593,,
all,593,21,,
riv,593,25,,
all,593,583,,
all,405,57,,
riv,25,31,,
riv,591,13,,
spl,309,601,,
spl,601,603,,
all,379,601,,
all,601,603,,
all,599,605,,
riv,589,395,,
riv,395,1,,
all,395,1,,
spl,149,605,,
riv,379,152,,
riv,149,599,,
all,379,309,,
riv,379,309,,
all,379,152,,
all,309,601,,
riv,152,309,,
all,152,309,,
all,609,21,,
riv,609,1,,
all,611,367,,
spl,611,613,,
all,613,21,,
all,613,367,,
aff,615,21,,
all,615,219,,
